no,group,indicator,source,date,Edinburgh,Almond,Pentland Hills,Drum Brae Gyle,Forth,Inverleith,Corstorphine Murrayfield,Sighthill Gorgie,Colinton Fairmilehead,Fountainbridge Craiglockhart,Meadows Morningside,City Centre,Leith Walk,Leith ,Craigentinny Duddingston,Southside Newington,Liberton Gilmerton,Portobello Craigmillar,North West,Leith and East,City Centre and South,South West
252,claimant count with rates and proportions ,Total claimants (male),Nomis,2014-12,4156,95,165,121,524,135,103,615,114,177,115,223,346,378,227,195,322,301,0,0,0,0
253,claimant count with rates and proportions ,Total claimants (female),Nomis,2014-12,1912,43,72,55,255,85,54,262,55,70,66,86,154,167,110,74,167,137,0,0,0,0
254,,,,,,,,,,,,,,,,,,,,,,,,,,
255,benefit claimants - job seekers allowance for small areas,Total JSA claimants,Nomis,2014-05,8055,185,300,240,975,295,200,1085,225,350,260,410,655,740,470,380,650,635,1895,2500,1700,1960
256,benefit claimants - job seekers allowance for small areas,Sum of age - 16 to 24,Nomis,2014-05,1725,50,85,60,225,75,55,235,50,75,50,65,105,130,80,80,145,160,465,475,340,445
257,benefit claimants - job seekers allowance for small areas,Sum of age - 25 to 49,Nomis,2014-05,4845,115,155,135,610,160,115,660,130,200,135,265,420,455,285,245,400,360,1135,1520,1045,1145
258,benefit claimants - job seekers allowance for small areas,Sum of age - 50 and over,Nomis,2014-05,1480,20,60,45,140,60,30,190,45,75,75,80,130,155,105,55,100,115,295,505,310,370
259,benefit claimants - job seekers allowance for small areas,Sum of gender - male,Nomis,2014-05,5570,125,210,175,650,195,125,805,150,265,180,305,450,505,310,275,435,410,1270,1675,1195,1430
260,benefit claimants - job seekers allowance for small areas,Sum of gender - female,Nomis,2014-05,2485,60,90,65,325,100,75,280,75,85,80,105,205,235,160,105,215,225,625,825,505,530
261,,,,,,,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,
271,benefit claimants - disability living allowance for small areas,Total DLA claimants,Nomis,2014-05,22645,810,875,1075,2115,895,635,2700,840,915,865,810,1330,1565,1540,1195,2390,2090,5530,6525,5260,5330
272,benefit claimants - disability living allowance for small areas,Sum of age - under 16,Nomis,2014-05,2185,125,140,115,220,85,100,235,130,75,130,40,95,110,110,85,220,170,645,485,475,580
273,benefit claimants - disability living allowance for small areas,Sum of age - 16 to 24,Nomis,2014-05,1435,80,95,80,160,15,45,190,65,40,50,15,40,115,95,50,170,130,380,380,285,390
274,benefit claimants - disability living allowance for small areas,Sum of age - 25 to 49,Nomis,2014-05,6580,175,215,320,585,225,140,890,235,295,245,325,470,560,390,390,590,530,1445,1950,1550,1635
275,benefit claimants - disability living allowance for small areas,Sum of age - 50 to 59,Nomis,2014-05,4565,160,165,205,460,185,125,555,135,185,165,170,280,305,330,215,470,455,1135,1370,1020,1040
276,benefit claimants - disability living allowance for small areas,Sum of age - 60 to 69,Nomis,2014-05,4610,165,155,215,385,200,100,525,150,195,150,170,250,315,315,290,550,480,1065,1360,1160,1025
277,benefit claimants - disability living allowance for small areas,Sum of age - 70 and over,Nomis,2014-05,3270,105,105,140,305,185,125,305,125,125,125,90,195,160,300,165,390,325,860,980,770,660
278,benefit claimants - disability living allowance for small areas,Sum of gender - male,Nomis,2014-05,11645,425,450,500,1050,400,300,1445,395,460,505,500,740,840,770,655,1175,1035,2675,3385,2835,2750
279,benefit claimants - disability living allowance for small areas,Sum of gender - female,Nomis,2014-05,11000,385,425,575,1065,495,335,1255,445,455,360,310,590,725,770,540,1215,1055,2855,3140,2425,2580
280,benefit claimants - disability living allowance for small areas,Sum of duration - less than 12 months,Nomis,2014-05,515,30,35,20,80,40,15,30,20,20,10,5,25,55,35,10,45,40,185,155,70,105
281,benefit claimants - disability living allowance for small areas,Sum of duration - 1 year and up to 2 years,Nomis,2014-05,1285,55,30,60,130,45,10,185,40,40,65,45,100,115,70,70,110,115,300,400,290,295
282,benefit claimants - disability living allowance for small areas,Sum of duration - 2 years and up to 5 years,Nomis,2014-05,3365,105,145,155,315,115,90,405,135,130,120,125,200,220,230,155,390,330,780,980,790,815
283,benefit claimants - disability living allowance for small areas,Sum of duration - 5 years and over,Nomis,2014-05,17480,620,665,840,1590,695,520,2080,645,725,670,635,1005,1175,1205,960,1845,1605,4265,4990,4110,4115
284,benefit claimants - disability living allowance for small areas,Sum of mobility award - higher rate,Nomis,2014-05,11055,415,405,550,1080,470,335,1195,395,415,365,295,605,710,795,560,1320,1145,2850,3255,2540,2410
285,benefit claimants - disability living allowance for small areas,Sum of mobility award - lower rate,Nomis,2014-05,9115,290,355,415,805,310,230,1170,340,380,420,435,605,690,585,525,810,750,2050,2630,2190,2245
286,benefit claimants - disability living allowance for small areas,Sum of mobility award - nil rate,Nomis,2014-05,2475,105,115,110,230,115,70,335,105,120,80,80,120,165,160,110,260,195,630,640,530,675
287,benefit claimants - disability living allowance for small areas,Sum of care award - lower rate,Nomis,2014-05,6300,225,245,290,580,250,160,810,195,220,220,260,360,500,420,285,685,595,1505,1875,1450,1470
288,benefit claimants - disability living allowance for small areas,Sum of care award - middle rate,Nomis,2014-05,8360,285,360,370,750,310,240,1010,335,395,345,315,530,555,530,480,825,725,1955,2340,1965,2100
289,benefit claimants - disability living allowance for small areas,Sum of care award - higher rate,Nomis,2014-05,5695,235,195,295,535,215,150,630,215,230,250,185,310,380,405,285,625,555,1430,1650,1345,1270
290,benefit claimants - disability living allowance for small areas,Sum of care award - nil rate,Nomis,2014-05,2290,65,75,120,250,120,85,250,95,70,50,50,130,130,185,145,255,215,640,660,500,490
291,,,,,,,,,,,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,,,,,,,
311,benefit claimants - income support for small areas,Total Income Support claimants,Nomis,2014-05,5250,155,210,215,715,155,135,760,175,185,120,115,210,365,350,210,590,585,1375,1510,1035,1330
312,benefit claimants - income support for small areas,Sum of age - 16 to 24,Nomis,2014-05,1055,15,50,65,160,25,25,180,45,25,10,35,30,55,75,20,110,130,290,290,175,300
313,benefit claimants - income support for small areas,Sum of age - 25 to 49,Nomis,2014-05,3190,110,125,110,420,105,85,445,100,105,80,60,140,250,215,135,355,350,830,955,630,775
314,benefit claimants - income support for small areas,Sum of age - 50 to 59,Nomis,2014-05,885,30,35,35,120,25,15,110,30,50,30,20,35,45,60,55,105,85,225,225,210,225
315,benefit claimants - income support for small areas,Sum of age - 60 and over,Nomis,2014-05,120,0,0,5,15,0,10,25,0,5,0,0,5,15,0,0,20,20,30,40,20,30
316,benefit claimants - income support for small areas,Sum of gender - male,Nomis,2014-05,1410,55,65,55,135,30,25,185,50,75,60,70,45,110,80,85,130,155,300,390,345,375
317,benefit claimants - income support for small areas,Sum of gender - female,Nomis,2014-05,3840,100,145,160,580,125,110,575,125,110,60,45,165,255,270,125,460,430,1075,1120,690,955
318,benefit claimants - income support for small areas,Sum of duration - up to 6 months,Nomis,2014-05,720,35,50,25,80,20,30,80,40,30,20,10,25,55,40,20,90,70,190,190,140,200
319,benefit claimants - income support for small areas,Sum of duration - 6 months - 1 year,Nomis,2014-05,485,15,45,10,85,15,5,65,10,10,5,15,10,25,35,20,50,65,130,135,90,130
320,benefit claimants - income support for small areas,Sum of duration - 1 year - 2 years,Nomis,2014-05,725,15,30,25,140,15,15,125,10,20,15,10,30,55,55,40,55,70,210,210,120,185
321,benefit claimants - income support for small areas,Sum of duration - 2 years - 5 years,Nomis,2014-05,1090,35,35,40,155,40,40,175,40,35,25,10,35,70,65,40,125,125,310,295,200,285
322,benefit claimants - income support for small areas,Sum of duration - 5 years and over,Nomis,2014-05,2230,55,50,115,255,65,45,315,75,90,55,70,110,160,155,90,270,255,535,680,485,530
323,benefit claimants - income support for small areas,Sum of partner - with partner,Nomis,2014-05,415,0,30,15,65,10,10,50,20,15,15,0,5,20,30,20,45,65,100,120,80,115
324,benefit claimants - income support for small areas,Sum of partner - single,Nomis,2014-05,4835,155,180,200,650,145,125,710,155,170,105,115,205,345,320,190,545,520,1275,1390,955,1215
325,benefit claimants - income support for small areas,Sum of group - incapacity benefits,Nomis,2014-05,1445,60,50,60,130,30,30,200,50,90,75,50,65,95,100,100,120,140,310,400,345,390
326,benefit claimants - income support for small areas,Sum of group - lone parents,Nomis,2014-05,2790,80,110,120,430,90,80,445,95,50,30,45,125,205,170,65,325,325,800,825,465,700
327,benefit claimants - income support for small areas,Sum of group - carers and others,Nomis,2014-05,1015,15,50,35,155,35,25,115,30,45,15,20,20,65,80,45,145,120,265,285,225,240
328,benefit claimants - income support for small areas,Number of Mosaic households,Mosaic,2014-08,239521,11525,9535,10990,16324,16834,10564,19616,11119,13379,15772,13828,18404,14801,13114,16283,15322,12111,66237,58430,61205,53649
329,benefit claimants - income support for small areas,Average age at birth of first child (years),Mosaic,2014-08,29.12625103,29.80246372,29.34831109,29.15611819,28.19224908,30.28611912,29.78781854,27.81253774,29.73862218,29.19641965,30.09827591,29.85678854,28.85128621,28.66916774,28.6989865,29.59092186,28.48137322,28.3688054,29.41897205,28.67096585,29.50396635,28.82979226
330,benefit claimants - income support for small areas,Households that include young people,Mosaic,2014-08,39093.89864,1998.135826,1684.841193,1997.634067,2439.958331,3170.660654,1752.241275,2781.615401,1998.111676,1969.996246,2841.354978,2289.67066,2640.073897,2131.852893,2099.012905,2637.670917,2631.104962,2029.962754,11358.63015,8900.902449,10399.80152,8434.564516
331,benefit claimants - income support for small areas,Households that include elderly parents,Mosaic,2014-08,2749.452316,111.280553,86.406844,111.29872,174.168696,267.935596,116.833007,181.591949,114.235239,153.051328,237.599047,221.559726,215.021957,180.79397,112.363633,203.500883,145.854252,115.956916,781.516572,624.136476,808.513908,535.28536
332,,,,,,,,,,,,,,,,,,,,,,,,,,
333,National Social Grades,National Social Grade 'A',Mosaic,2014-08,14826.64997,1106.575164,838.430009,751.699733,677.9680686,1576.620246,949.028349,491.5078432,1182.399767,735.5642457,1238.552503,884.4667488,753.0736226,606.3141761,700.3086209,1057.560664,696.3445192,580.2356907,5061.891561,2639.93211,3876.924435,3247.901865
334,National Social Grades,National Social Grade 'B',Mosaic,2014-08,51722.32751,3251.015776,2428.303641,2745.318704,2774.892953,4641.576444,3018.991666,2481.10188,3199.247718,2943.496207,3867.45381,2925.945075,3500.29126,2867.180759,2678.839513,3563.142535,2673.315438,2162.214132,16431.79554,11208.52566,13029.85686,11052.14945
335,National Social Grades,National Social Grade 'C1',Mosaic,2014-08,74262.07363,3194.74373,2459.879798,3118.275099,3971.917049,5005.764004,3117.949053,5618.493037,2958.580931,5011.396626,6038.110691,5382.552914,6933.695899,4895.176238,3582.408401,6260.64186,3763.972873,2948.515427,18408.64893,18359.79597,21445.27834,16048.35039
336,National Social Grades,National Social Grade 'C2',Mosaic,2014-08,31024.05405,1656.872766,1387.063251,1801.963723,2546.688502,2026.731242,1321.326243,2805.190742,1359.811222,1367.972865,1432.624128,1314.153803,1944.615868,1910.352736,1913.184689,1505.680569,2767.25551,1962.566194,9353.582476,7730.719485,7019.71401,6920.03808
337,National Social Grades,National Social Grade 'D',Mosaic,2014-08,25547.75495,969.976806,927.9125128,1113.140937,2265.048086,1358.700909,813.837993,2961.982818,890.1874502,1279.121806,1201.831087,1277.427143,2028.305547,1728.72718,1545.920386,1410.934774,2131.757724,1642.941788,6520.70473,6945.894901,6021.950728,6059.204587
338,National Social Grades,National Social Grade 'E',Mosaic,2014-08,42138.13989,1345.815759,1493.410788,1459.601804,4087.485341,2224.607156,1342.866695,5257.723681,1528.772912,2041.44825,1993.42778,2043.454316,3244.017804,2793.248911,2693.33839,2485.039599,3289.353936,2814.526768,10460.37675,11545.13187,9811.275631,10321.35563
339,,,,,,,,,,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,,,,,,,,,
344,,,,,,,,,,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,,,,,,,,,
351,,,,,,,,,,,,,,,,,,,,,,,,,,
352,,,,,,,,,,,,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Household income,Average annual household income,Mosaic,2014-08,38965.67386,47899.41517,42861.32498,41101.82812,32491.50014,49797.2431,47241.89826,26389.3834,49794.57225,37940.47162,47080.00277,41752.97122,33528.14722,33950.21766,34235.14309,41470.70355,33347.90696,32974.87599,43351.77171,33679.06183,40946.49107,37048.3755
362,Household income,Households income 'less than £15k',Mosaic,2014-08,43972.02968,1458.411964,1667.162517,1577.397302,4422.910171,2106.667402,1421.898908,5513.718869,1538.987312,2075.836273,2156.41904,1854.190184,2903.790503,2520.345617,2850.527852,2914.931362,3798.471028,3190.363371,10987.28575,11465.02734,10724.01161,10795.70497
363,Household income,Households income '£15k to £19k',Mosaic,2014-08,15408.12001,576.291314,576.118964,651.797312,1294.820352,835.873788,591.980219,1598.323408,573.337975,868.959581,850.785011,722.692604,1221.785231,996.81838,978.23362,1044.512196,1093.083351,932.7067,3950.762985,4129.543931,3711.073162,3616.739928
364,Household income,Households income '£20k to £29k',Mosaic,2014-08,55376.17703,1851.280517,1623.90138,2188.918759,3927.558653,2734.62655,1894.021746,5971.073244,1792.194913,3618.776852,3269.021394,3447.003312,5659.243462,4222.132929,3155.656304,3834.345317,3433.816453,2752.605243,12596.40623,15789.63794,13984.18648,13005.94639
365,Household income,Households income '£30k to £39k',Mosaic,2014-08,35834.1322,1647.483157,1230.526758,1822.60439,2131.111104,2615.676961,1561.261421,2728.292642,1363.919838,2142.356932,2368.533253,2335.161194,3257.074886,2556.714858,1936.250253,2305.440779,2222.195208,1609.52857,9778.137033,9359.568567,9231.330434,7465.09617
366,Household income,Households income '£40k to £49k',Mosaic,2014-08,28120.81472,1695.301593,1326.34697,1626.315444,1611.658012,2015.211155,1383.20548,1935.693753,1438.849091,1562.015878,1759.963939,1533.521934,2124.461073,1738.906215,1525.557326,1719.784638,1836.876619,1287.145602,8331.691684,6676.070216,6850.14713,6262.905692
367,Household income,Households income '£50k to £59k',Mosaic,2014-08,20199.04555,1238.926147,948.945742,1109.702625,1089.290172,1714.601831,1061.794071,1094.266057,1159.585168,1120.689899,1447.46785,1235.389765,1451.514099,1197.707024,997.157252,1307.852447,1177.925903,846.2295,6214.314846,4492.607875,5168.635965,4323.486866
368,Household income,Households income '£60k to £69k',Mosaic,2014-08,12352.54832,847.612576,652.318015,665.764267,584.79813,1239.903883,688.98062,429.510716,805.084371,646.605935,971.836075,844.765507,787.702356,660.556815,595.09966,816.284452,623.465367,492.259576,4027.059476,2535.618407,3256.351401,2533.519037
369,Household income,Households income '£70k to £99k',Mosaic,2014-08,17669.12585,1413.142764,1054.860202,958.62817,773.62833,2044.481959,1144.788544,296.876162,1459.456264,839.796905,1536.515192,1112.209926,747.283255,679.343987,817.631751,1244.56562,827.832773,718.084048,6334.669767,2962.343041,4721.123511,3650.989533
370,Household income,Households income '£100k to £149k',Mosaic,2014-08,7454.177129,573.167604,351.574478,304.496827,339.638814,1043.037483,555.791879,42.891185,681.027875,353.413716,912.30647,515.702788,197.212663,184.280599,221.875754,711.683687,241.646106,224.429201,2816.132607,827.798217,2381.339051,1428.907254
371,Household income,Households income '£150k+',Mosaic,2014-08,3134.815542,223.384203,103.24597,84.375784,148.584369,483.922279,260.278632,5.346655,306.558478,150.54586,499.153023,227.361477,53.926992,44.190995,36.008775,383.598635,66.686446,57.646969,1200.545267,191.773731,1176.799581,565.696963
372,Household income,Average property value,Mosaic,2014-08,176115.3908,214211.959,187172.6184,169228.3742,135941.393,242755.1685,221892.8735,104155.9866,235898.3505,176928.8581,242499.0721,204027.3677,146483.6815,140731.9887,142877.3034,210800.4111,131121.7123,135996.1568,195937.8713,142043.5093,197491.966,164362.7971
373,Household income,Ratio: property value / hh income,Mosaic,2014-08,4.519757348,4.472120551,4.366934958,4.117295555,4.183906328,4.874871646,4.696950835,3.94688974,4.737431005,4.663327855,5.150787124,4.8865353,4.368976325,4.145245552,4.173410435,5.083116346,3.931932295,4.124235579,4.519720038,4.217561346,4.82317192,4.436437357
374,,,,,,,,,,,,,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,,,,,,,,,,
376,,,,,,,,,,,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,,,,,,,,,
381,,,,,,,,,,,,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,,,,,,,,,,,
384,,,,,,,,,,,,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,,,,,,,,,,
387,,,,,,,,,,,,,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Personal financial circumstances,'Comfortable' on household income,Mosaic,2014-08,67238.0221,4141.385396,3176.33278,3516.185465,3589.950562,5528.244465,3736.908362,3741.290885,4032.869752,3809.423656,4952.596478,3648.86261,4521.295305,3522.420935,3626.406115,4850.638058,3863.966286,2979.244991,20512.67425,14649.36735,17316.06343,14759.91707
392,Personal financial circumstances,'Coping' on household income,Mosaic,2014-08,106053.5052,5154.116655,4058.095091,5053.743331,6943.845393,7573.40816,4768.905054,8272.383919,4784.894582,6075.224058,7171.17124,6267.079704,8266.553755,6640.263218,5709.904191,7352.826354,6792.51844,5168.572066,29494.01859,25785.29323,27583.59574,23190.59765
393,Personal financial circumstances,'Difficult' on household income,Mosaic,2014-08,42934.53825,1570.760866,1432.391886,1667.025058,3398.419312,2535.908888,1433.883555,4536.660489,1529.049664,2365.306022,2523.923027,2683.868883,3768.894352,3035.723857,2344.430626,2756.841138,2959.337472,2392.113153,10605.99768,11541.16199,10923.97052,9863.408061
394,Personal financial circumstances,'Very difficult' on household income,Mosaic,2014-08,20833.06347,642.5284902,683.8653831,719.5618147,1866.353801,1122.891149,624.3030282,2491.158678,669.28456,1129.1401,1124.347818,1228.92408,1821.580575,1503.89618,1154.728187,1288.450768,1490.137555,1271.911303,4975.638283,5752.116246,5131.860221,4973.448721
395,,,,,,,,,,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,,,,,,,,,,
406,,,,,,,,,,,,,,,,,,,,,,,,,,
407,,,,,,,,,,,,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Charitable donations,Less than £10 donated in last year (%),Mosaic,2014-08,0.467931968,0.385464935,0.392611252,0.419919054,0.505523037,0.405059212,0.384955211,0.554008247,0.381179745,0.487709309,0.456200735,0.504652248,0.52096889,0.515124844,0.453112029,0.47784891,0.488635929,0.488363047,0.425668214,0.497500433,0.481026432,0.47297013
412,Charitable donations,More than £200 donated in last year (%),Mosaic,2014-08,0.09806658,0.13101559,0.115596777,0.104220669,0.072027495,0.147347494,0.13856272,0.045632355,0.145787356,0.093355719,0.133093616,0.105023253,0.069709369,0.068719136,0.084193924,0.113055504,0.073622039,0.076113709,0.117386671,0.074036889,0.106532697,0.090725928
413,,,,,,,,,,,,,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,,,,,,,,,,,,,
415,,,,,,,,,,,,,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,,,,,,,,,,,,,
417,,,,,,,,,,,,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Technology owned,Smart phone owned (%),Mosaic,2014-08,0.752091156,0.689059922,0.688350836,0.696885156,0.748724999,0.734865613,0.691651183,0.782187978,0.694719906,0.789845206,0.797412456,0.841524073,0.811821373,0.789550651,0.700200812,0.792571244,0.706078845,0.718064192,0.717117339,0.761694483,0.783226236,0.749291771
422,Technology owned,Tablet owned (%),Mosaic,2014-08,0.543068605,0.556356379,0.539623371,0.530976704,0.511167383,0.552896395,0.538417841,0.5193702,0.555484664,0.564701035,0.588657979,0.591597388,0.55472029,0.535832418,0.501134227,0.576286147,0.507239123,0.503025371,0.537268318,0.527193948,0.565648354,0.541759284
423,Technology owned,Laptop owned (%),Mosaic,2014-08,0.870064928,0.841215678,0.840677601,0.846963738,0.863483661,0.856841606,0.841080132,0.88435658,0.841031588,0.891098042,0.890044473,0.91133952,0.905202027,0.891311174,0.848513742,0.888580579,0.846087542,0.850694437,0.85160698,0.877662234,0.883462057,0.86929543
424,Technology owned,PC (not laptop) owned (%),Mosaic,2014-08,0.696566404,0.729462643,0.727279513,0.712668547,0.683403233,0.716920696,0.71104669,0.665995114,0.730996921,0.687769264,0.715531527,0.692335827,0.658056098,0.667717463,0.691898884,0.706609863,0.698508436,0.693916469,0.70920028,0.675532003,0.703655873,0.695789112
425,Technology owned,Smart TV owned (%),Mosaic,2014-08,0.256638936,0.275157446,0.257938195,0.258724951,0.24554866,0.274974859,0.262125081,0.228561966,0.282006397,0.256767621,0.289796792,0.278226614,0.234144767,0.242753922,0.232353301,0.278154914,0.243586233,0.240025624,0.263009031,0.237142437,0.272517235,0.251893518
426,Technology owned,Mobile phone owned (%),Mosaic,2014-08,0.966363934,0.958389064,0.960709343,0.961004625,0.964753603,0.961347927,0.960442725,0.972509602,0.959913793,0.971007458,0.966775039,0.973509437,0.977202314,0.973037354,0.963632676,0.967414813,0.961341722,0.962992255,0.96147109,0.970156347,0.967106571,0.967427206
427,Technology owned,Home landline telephone (%),Mosaic,2014-08,0.859955019,0.91273468,0.911038241,0.904913518,0.876444304,0.862559004,0.890954934,0.855129193,0.909513697,0.824425993,0.812140965,0.801238115,0.815806171,0.835681449,0.881789727,0.815065288,0.900201048,0.88925187,0.886267641,0.850873486,0.832500555,0.868680535
428,Technology owned,Broadband internet at home (%),Mosaic,2014-08,0.898424531,0.926530477,0.926315955,0.918297612,0.896714636,0.903293067,0.914002404,0.886418806,0.922584539,0.886059525,0.887788029,0.878009896,0.878736672,0.883780031,0.906421605,0.886162278,0.908119453,0.905096862,0.909912603,0.891691579,0.890236096,0.900915615
429,,,,,,,,,,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,,,,,,,,,,
436,,,,,,,,,,,,,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,,,,,,,,,,
439,,,,,,,,,,,,,,,,,,,,,,,,,,
440,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Banking behavior,ATM banking (%),Mosaic,2014-08,0.807304471,0.777625369,0.774550408,0.785854301,0.806282325,0.794816586,0.784483429,0.825357814,0.781549185,0.824929944,0.820043855,0.834157271,0.837837042,0.826718523,0.792971781,0.820111558,0.791575733,0.795201123,0.791516059,0.816113751,0.816123819,0.807141608
442,Banking behavior,Branch banking (%),Mosaic,2014-08,0.727555403,0.715090304,0.710523464,0.717227697,0.714726332,0.725046599,0.727871614,0.721611423,0.717585582,0.745308479,0.739266569,0.738009136,0.754214989,0.745244042,0.724855384,0.737586931,0.704612808,0.711015466,0.719924075,0.736398965,0.729860438,0.724715971
443,Banking behavior,Online banking (%),Mosaic,2014-08,0.765054805,0.765821926,0.749513006,0.753343759,0.725956441,0.768146655,0.766580977,0.743571392,0.765711749,0.79696186,0.794362159,0.807698559,0.80489124,0.781096158,0.737856465,0.786713067,0.720303882,0.723155285,0.754638658,0.766876707,0.776800598,0.762530608
444,Banking behavior,Telephone banking (%),Mosaic,2014-08,0.371233658,0.356622197,0.347683704,0.359621953,0.361153295,0.404964405,0.379253922,0.348951983,0.366213328,0.377859584,0.394583564,0.404802833,0.384580361,0.386314015,0.355941866,0.376898183,0.339353632,0.349127446,0.374132157,0.371243451,0.378361163,0.359513049
445,Banking behavior,Mobile banking (%),Mosaic,2014-08,0.112752888,0.090332153,0.085784805,0.102948727,0.117215915,0.118839564,0.108543001,0.11099096,0.095283565,0.122421885,0.126402752,0.132792465,0.126895029,0.132725353,0.096319792,0.119247391,0.1001205,0.100112694,0.109200457,0.115958354,0.119363287,0.106106305
446,Banking behavior,Post banking (%),Mosaic,2014-08,0.123898722,0.12301862,0.112341769,0.115478468,0.105214787,0.134551405,0.129714623,0.10812954,0.129443963,0.134101383,0.146759678,0.143728641,0.130433769,0.122963462,0.113375997,0.143797944,0.102719793,0.106192262,0.121378803,0.11968839,0.134262036,0.119772552
